tender_id,category,region,agency,estimated_value,bid_deadline,award_date,vendor_id,vendor_name,vendor_address,bid_amount,is_winner
T0030,Medical Equipment,West Zone,Municipal Corp,241674.43,2025-09-19,,V005,Bluewave Systems,"104 Market Street, City 0",219450.68,False
T0053,IT Hardware,North Zone,IT Dept,212884.63,2025-05-24,,V902,Zenith Infra Works,42 Industrial Park Road,277050.19,False
T0013,Medical Equipment,East Zone,Public Works Dept,167501.06,2025-04-19,,V003,Horizon Traders,"102 Market Street, City 2",187039.62,False
T0044,Sanitation Services,South Zone,Municipal Corp,124817.45,2026-01-23,2026-01-30,V018,Granite Infra,"117 Market Street, City 1",109927.68,True
T0008,Office Supplies,South Zone,Health Dept,44430.29,2025-03-05,,V001,Alpine Builders,"100 Market Street, City 0",49959.62,False
T0003,IT Hardware,North Zone,Sanitation Board,176561.88,2025-01-19,,V018,Granite Infra,"117 Market Street, City 1",187367.45,False
T0058,Specialized Medical Devices,North Zone,Health Dept,300107.03,2025-05-20,2025-06-06,V801,MedTech Precision Devices,9 Science Park Drive,309200.09,True
T0015,IT Hardware,West Zone,Health Dept,201501.6,2025-05-07,,V002,Metro Constructions,"101 Market Street, City 1",210121.56,False
T0019,Office Supplies,East Zone,Public Works Dept,47661.18,2025-06-12,,V009,Cedar Point Inc,"108 Market Street, City 0",44943.52,False
T0053,IT Hardware,North Zone,IT Dept,212884.63,2025-05-24,,V901,Apex Infra Solutions,42 Industrial Park Road,273980.87,False
T0019,Office Supplies,East Zone,Public Works Dept,47661.18,2025-06-12,2025-06-23,V004,Summit Supplies,"103 Market Street, City 3",43824.83,True
T0031,Medical Equipment,North Zone,Municipal Corp,242628.15,2025-09-28,,V013,Pioneer Infra,"112 Market Street, City 0",278843.33,False
T0024,Office Supplies,South Zone,Health Dept,29656.49,2025-07-27,,V004,Summit Supplies,"103 Market Street, City 3",28644.56,False
T0029,Sanitation Services,North Zone,IT Dept,94735.4,2025-09-10,,V003,Horizon Traders,"102 Market Street, City 2",95379.12,False
T0047,IT Hardware,North Zone,IT Dept,201434.56,2025-03-01,2025-03-04,V903,Prime Infra Traders,42 Industrial Park Road,266484.84,True
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,,V002,Metro Constructions,"101 Market Street, City 1",215467.68,False
T0054,Specialized Medical Devices,West Zone,Health Dept,305967.9,2025-03-01,2025-03-15,V801,MedTech Precision Devices,9 Science Park Drive,285660.49,True
T0017,Sanitation Services,East Zone,Health Dept,144550.08,2025-05-25,,V003,Horizon Traders,"102 Market Street, City 2",144728.49,False
T0057,Specialized Medical Devices,South Zone,Health Dept,310585.85,2025-04-30,,V802,BioCore Instruments,77 Innovation Lane,294376.42,False
T0039,Road Construction,East Zone,Health Dept,422739.02,2025-12-09,,V010,Northgate Equipments,"109 Market Street, City 1",459075.49,False
T0018,Sanitation Services,North Zone,Public Works Dept,116952.71,2025-06-03,2025-06-12,V009,Cedar Point Inc,"108 Market Street, City 0",111085.27,True
T0028,Road Construction,East Zone,Municipal Corp,431998.47,2025-09-01,,V010,Northgate Equipments,"109 Market Street, City 1",430232.78,False
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,2025-01-21,V017,Vertex Solutions,"116 Market Street, City 0",164676.37,True
T0009,IT Hardware,North Zone,Public Works Dept,161558.89,2025-03-14,,V003,Horizon Traders,"102 Market Street, City 2",183838.33,False
T0041,Road Construction,West Zone,Public Works Dept,406524.02,2025-12-27,,V007,Falcon Works,"106 Market Street, City 2",410408.03,False
T0040,Road Construction,East Zone,Sanitation Board,448456.4,2025-12-18,2025-12-26,V012,Union Traders,"111 Market Street, City 3",431686.95,True
T0049,IT Hardware,North Zone,IT Dept,187764.7,2025-03-29,,V903,Prime Infra Traders,42 Industrial Park Road,241615.94,False
T0008,Office Supplies,South Zone,Health Dept,44430.29,2025-03-05,,V017,Vertex Solutions,"116 Market Street, City 0",50649.56,False
T0038,IT Hardware,North Zone,Public Works Dept,158835.47,2025-11-30,,V004,Summit Supplies,"103 Market Street, City 3",148441.34,False
T0038,IT Hardware,North Zone,Public Works Dept,158835.47,2025-11-30,2025-12-17,V007,Falcon Works,"106 Market Street, City 2",141005.95,True
T0023,Office Supplies,South Zone,Health Dept,53495.36,2025-07-18,2025-08-05,V013,Pioneer Infra,"112 Market Street, City 0",47379.32,True
T0035,IT Hardware,North Zone,Municipal Corp,218650.54,2025-11-03,,V003,Horizon Traders,"102 Market Street, City 2",232230.35,False
T0036,Medical Equipment,South Zone,Municipal Corp,133865.65,2025-11-12,,V009,Cedar Point Inc,"108 Market Street, City 0",152644.48,False
T0030,Medical Equipment,West Zone,Municipal Corp,241674.43,2025-09-19,,V001,Alpine Builders,"100 Market Street, City 0",281823.51,False
T0012,IT Hardware,West Zone,Health Dept,174800.83,2025-04-10,2025-04-23,V011,Silverline Corp,"110 Market Street, City 2",154257.87,True
T0015,IT Hardware,West Zone,Health Dept,201501.6,2025-05-07,,V010,Northgate Equipments,"109 Market Street, City 1",221013.39,False
T0038,IT Hardware,North Zone,Public Works Dept,158835.47,2025-11-30,,V005,Bluewave Systems,"104 Market Street, City 0",159385.23,False
T0010,Medical Equipment,East Zone,Municipal Corp,135951.57,2025-03-23,,V015,Evergreen Services,"114 Market Street, City 2",116502.52,False
T0037,IT Hardware,West Zone,IT Dept,219993.55,2025-11-21,,V002,Metro Constructions,"101 Market Street, City 1",256491.41,False
T0005,Sanitation Services,West Zone,Municipal Corp,133897.73,2025-02-06,,V018,Granite Infra,"117 Market Street, City 1",131461.08,False
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,,V014,Delta Hardware,"113 Market Street, City 1",208471.58,False
T0012,IT Hardware,West Zone,Health Dept,174800.83,2025-04-10,,V002,Metro Constructions,"101 Market Street, City 1",205351.56,False
T0016,Office Supplies,South Zone,Public Works Dept,40188.78,2025-05-16,2025-06-06,V018,Granite Infra,"117 Market Street, City 1",34687.53,True
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,,V009,Cedar Point Inc,"108 Market Street, City 0",199480.59,False
T0034,Office Supplies,West Zone,Municipal Corp,62672.4,2025-10-25,,V016,Coastal Supplies,"115 Market Street, City 3",64566.59,False
T0027,Road Construction,East Zone,Public Works Dept,459162.52,2025-08-23,,V007,Falcon Works,"106 Market Street, City 2",527084.52,False
T0026,IT Hardware,North Zone,Municipal Corp,214790.26,2025-08-14,2025-08-29,V012,Union Traders,"111 Market Street, City 3",196537.73,True
T0034,Office Supplies,West Zone,Municipal Corp,62672.4,2025-10-25,,V007,Falcon Works,"106 Market Street, City 2",62285.45,False
T0014,Road Construction,North Zone,Public Works Dept,314124.19,2025-04-28,,V013,Pioneer Infra,"112 Market Street, City 0",296574.78,False
T0047,IT Hardware,North Zone,IT Dept,201434.56,2025-03-01,,V902,Zenith Infra Works,42 Industrial Park Road,265057.02,False
T0033,IT Hardware,North Zone,Health Dept,164976.7,2025-10-16,,V013,Pioneer Infra,"112 Market Street, City 0",169771.2,False
T0028,Road Construction,East Zone,Municipal Corp,431998.47,2025-09-01,,V001,Alpine Builders,"100 Market Street, City 0",433487.18,False
T0044,Sanitation Services,South Zone,Municipal Corp,124817.45,2026-01-23,,V008,Riverbend Contractors,"107 Market Street, City 3",115222.34,False
T0009,IT Hardware,North Zone,Public Works Dept,161558.89,2025-03-14,,V008,Riverbend Contractors,"107 Market Street, City 3",176240.91,False
T0015,IT Hardware,West Zone,Health Dept,201501.6,2025-05-07,,V018,Granite Infra,"117 Market Street, City 1",204713.66,False
T0006,Road Construction,North Zone,Public Works Dept,428922.71,2025-02-15,2025-02-28,V005,Bluewave Systems,"104 Market Street, City 0",418600.41,True
T0036,Medical Equipment,South Zone,Municipal Corp,133865.65,2025-11-12,,V006,Crest Logistics,"105 Market Street, City 1",155805.87,False
T0021,Office Supplies,North Zone,Public Works Dept,49125.48,2025-06-30,2025-07-09,V002,Metro Constructions,"101 Market Street, City 1",42434.76,True
T0042,IT Hardware,East Zone,IT Dept,202533.34,2026-01-05,2026-01-21,V015,Evergreen Services,"114 Market Street, City 2",174071.53,True
T0014,Road Construction,North Zone,Public Works Dept,314124.19,2025-04-28,,V016,Coastal Supplies,"115 Market Street, City 3",348392.84,False
T0006,Road Construction,North Zone,Public Works Dept,428922.71,2025-02-15,,V014,Delta Hardware,"113 Market Street, City 1",439477.53,False
T0039,Road Construction,East Zone,Health Dept,422739.02,2025-12-09,2025-12-30,V002,Metro Constructions,"101 Market Street, City 1",369929.97,True
T0034,Office Supplies,West Zone,Municipal Corp,62672.4,2025-10-25,2025-11-14,V005,Bluewave Systems,"104 Market Street, City 0",57809.59,True
